old file name,new file name,organism,phenotype,SCS,LH or M,plant or animal,within or between species,SE provided?,notes,"data type: standard, PSU, cmat",cmat (if assigned),reference,,,,,,,,,,,,
,A.tetanothrixa.csv,Willow,herbivore density,NSC,M,plant,between,Y,Aculops tetanothrixa,standard,,"Hochwender, C.G. & Fritz, R.S. (2004). Plant genetic differences influence herbivore community structure: evidence from a hybrid willow system. Oecologia. 138, 547-557.",,,,,,,,,,,,
,acetyl.red.csv,spanish clover,acetylene reduced (nmoles/h),NSC,M,plant,within,Y,,PSU,,"Pinchbeck, B.R., et al. (1980) Genetic studies of symbiotic nitrogen fixation in spanish clover. Can. J. Plant Sci. 60, 509-518. ",,,,,,,,,,,,
,ACO.fecund.csv, Drosophila melanogaster,BxACO fecundity,XY,LH,animal,within,Y,,standard,,"Teotonio, H., Matos, M., & Rose, M.R. 2004. Quantitative genetics of functional characters in Drosophila melanogaster populations subjected to laboratory selection. Journal of Genetics. 83(1), 265-277.",,,,,,,,,,,,
,ACO.fem.starv.csv, Drosophila melanogaster,BxACO female starvation resist,XY,LH,animal,within,Y,,standard,,"Teotonio, H., Matos, M., & Rose, M.R. 2004. Quantitative genetics of functional characters in Drosophila melanogaster populations subjected to laboratory selection. Journal of Genetics. 83(1), 265-277.",,,,,,,,,,,,
,ACO.fem.time.csv, Drosophila melanogaster,BxACO fem develop time,XY,LH,animal,within,Y,,standard,,"Teotonio, H., Matos, M., & Rose, M.R. 2004. Quantitative genetics of functional characters in Drosophila melanogaster populations subjected to laboratory selection. Journal of Genetics. 83(1), 265-277.",,,,,,,,,,,,
,ACO.femwt.csv, Drosophila melanogaster,BxACO female weight,XY,M,animal,within,Y,,standard,,"Teotonio, H., Matos, M., & Rose, M.R. 2004. Quantitative genetics of functional characters in Drosophila melanogaster populations subjected to laboratory selection. Journal of Genetics. 83(1), 265-277.",,,,,,,,,,,,
,ACO.male.starv.csv, Drosophila melanogaster,BxACO male starvation resist,XY,LH,animal,within,Y,,standard,,"Teotonio, H., Matos, M., & Rose, M.R. 2004. Quantitative genetics of functional characters in Drosophila melanogaster populations subjected to laboratory selection. Journal of Genetics. 83(1), 265-277.",,,,,,,,,,,,
,ACO.male.time.csv, Drosophila melanogaster,BxACO male develop time,XY,LH,animal,within,Y,,standard,,"Teotonio, H., Matos, M., & Rose, M.R. 2004. Quantitative genetics of functional characters in Drosophila melanogaster populations subjected to laboratory selection. Journal of Genetics. 83(1), 265-277.",,,,,,,,,,,,
,ACO.malewt.csv, Drosophila melanogaster,BxACO male weight,XY,M,animal,within,Y,,standard,,"Teotonio, H., Matos, M., & Rose, M.R. 2004. Quantitative genetics of functional characters in Drosophila melanogaster populations subjected to laboratory selection. Journal of Genetics. 83(1), 265-277.",,,,,,,,,,,,
,adven.root.csv,Zea mays,number of adventitious roots,NSC,M,plant,within,N,,PSU,,"Rahman, H. et al. (1994) Generation mean analysis of seedling root characteristics in maize (Zea mays L.) Maydica. 39, 177-181.",,,,,,,,,,,,
