add,dom,epi,file,refile,cohorts,class,kingdom,domestication,trait,species,SCS,divergence,weighted,method
NA,NA,NA,ban.inf.csv,ban.inf.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0,1,ban.osa.csv,ban.osa.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0.40373895,0.59626105,ban.sq.csv,ban.sq.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,1,0,bh.sq.csv,bh.sq.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0,1,col.ban.csv,col.ban.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0.07417865,0,0.92582135,cro.inf.csv,cro.inf.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0,1,da.sq.csv,da.sq.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0,1,dar.bho.csv,dar.bho.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
NA,NA,NA,h-ba.sq.csv,h-ba.sq.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0,1,h-ban.osa.csv,h-ban.osa.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,1,0,h-bh.sq.csv,h-bh.sq.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0,1,h-col.ban.csv,h-col.ban.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0.340231746,0.659768254,0,h-da.sq.csv,h-da.sq.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0,1,h-dar.bho.csv,h-dar.bho.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
