"add","dom","epi","class","kingdom","trait","species","SCS","divergence","weighted","method"
NA,NA,NA,"M","plant","herbivore density","Willow","NSC","between","Y","standard"
0,0,1,"M","plant","acetylene reduced (nmoles/h)","spanish clover","NSC","within","Y","PSU"
0.365620080773821,0,0.634379919226179,"LH","animal","BxACO fecundity"," Drosophila melanogaster","XY","within","Y","standard"
1,0,0,"LH","animal","BxACO female starvation resist"," Drosophila melanogaster","XY","within","Y","standard"
0.898046502481346,0,0.101953497518654,"LH","animal","BxACO fem develop time"," Drosophila melanogaster","XY","within","Y","standard"
0.347826086956523,0,0.652173913043477,"M","animal","BxACO female weight"," Drosophila melanogaster","XY","within","Y","standard"
0.750000015062409,0,0.249999984937591,"LH","animal","BxACO male starvation resist"," Drosophila melanogaster","XY","within","Y","standard"
1,0,0,"LH","animal","BxACO male develop time"," Drosophila melanogaster","XY","within","Y","standard"
0.656381540809148,0,0.343618459190852,"M","animal","BxACO male weight"," Drosophila melanogaster","XY","within","Y","standard"
0,0,1,"M","plant","number of adventitious roots","Zea mays","NSC","within","N","PSU"
NA,NA,NA,"M","plant","total number of aphids","Willow","NSC","between","Y","standard"
NA,NA,NA,"M","plant","aphid survival","Willow","NSC","between","Y","standard"
1,0,0,"M","plant","aphid survival","Willow","NSC","between","Y","standard"
0.199624228774938,0,0.800375771225062,"LH","animal","number of offspring","T. castaneum","XY","within","Y","standard"
0,0.0857648032392578,0.914235196760742,"LH","animal","number of offspring","T. castaneum","XY","within","Y","standard"
0,0.501560782778003,0.498439217221997,"LH","animal","number of offspring","T. castaneum","XY","within","Y","standard"
0.367970265029088,0.135908209437621,0.49612152553329,"LH","animal","number of offspring","T. castaneum","XY","within","Y","standard"
0.634112215309117,0,0.365887784690883,"M","plant","above ground biomass","Lycopersicon","NSC","between","Y","standard"
1,0,0,"M","animal","60 day bodyweight in females","mice","XY","within","Y","PSU"
0.53051010587103,0,0.46948989412897,"M","animal","60 day bodyweight in males","mice","XY","within","Y","PSU"
0.644449132919981,0.355550867080019,0,"M","animal","body weight","rainbow trout","XY","within","Y","PSU"
1,0,0,"M","animal","body weight","rainbow trout","XY","within","Y","PSU"
0.573189554518012,0,0.426810445481988,"M","plant","number of branches","eggplant (Solanum melongena)","NSC","within","N","PSU"
1,0,0,"M","plant","number of branches","eggplant (Solanum melongena)","NSC","within","N","PSU"
0.84984605189715,0,0.15015394810285,"M","plant","number of branches","eggplant (Solanum melongena)","NSC","within","N","PSU"
0.355968803482616,0.35386682900495,0.290164367512434,"M","plant","number of branches","eggplant (Solanum melongena)","NSC","within","N","PSU"
0.661579621994698,0.338420378005302,0,"M","plant","number of branches","eggplant (Solanum melongena)","NSC","within","N","PSU"
0.669206096736632,0.330793903263368,0,"M","plant","number of branches","eggplant (Solanum melongena)","NSC","within","N","PSU"
0,0.390301302388613,0.609698697611387,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
NA,NA,NA,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
0.804507116457619,0,0.195492883542381,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
1,0,0,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
0,0,1,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
0,0,1,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
NA,NA,NA,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
NA,NA,NA,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
0,0,1,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
NA,NA,NA,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
0,0,1,"M","plant","herbivore density","Willow","NSC","between","Y","standard"
NA,NA,NA,"M","plant","calyx length","Mimulus cuprilphilus, Mimulus guttatus","NSC","between","Y","PSU"
0,0,1,"LH","plant","number of catkins","Willow","NSC","between","Y","standard"
0.0357142857142857,0.392857142857143,0.571428571428571,"LH","plant","filled seeds/catkin","Willow","NSC","between","Y","standard"
1,0,0,"M","plant","chlorophyll content","Lycopersicon","NSC","between","Y","standard"
0.0526315789473684,0.421052631578947,0.526315789473684,"LH","animal","number of offspring","T. castaneum","XY","within ","Y","standard"
0.511727511307118,0,0.488272488692882,"M","plant","coleoptile length (mm)","rye (Secale cereale L..)","NSC","within","N","PSU"
0.539664779427253,0.460335220572747,0,"M","plant","coleoptile length (mm)","rye (Secale cereale L..)","NSC","within","N","PSU"
0.543002641596278,0.456997358403722,0,"M","plant","coleoptile length (mm)","rye (Secale cereale L..)","NSC","within","N","PSU"
1,0,0,"M","plant","coleoptile length (mm)","rye (Secale cereale L..)","NSC","within","N","PSU"
NA,NA,NA,"M","plant","coleoptile length (mm)","rye (Secale cereale L..)","NSC","within","N","PSU"
0,0,1,"M","plant","corolla length","Mimulus cuprilphilus, Mimulus guttatus","NSC","between","Y","PSU"
0,0,1,"M","plant","cotyledon area (mm2)","spanish clover","NSC","within","Y","PSU"
0,0,1,"LH","animal","number of offspring","T. castaneum","XY","within ","Y","standard"
1,0,0,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
0,0.391924675111935,0.608075324888065,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
NA,NA,NA,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
0,0,1,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
1,0,0,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
NA,NA,NA,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
0.0450949367088608,0.306170886075949,0.64873417721519,"LH","animal","number of offspring","T. castaneum","XY","within ","Y","standard"
NA,NA,NA,"LH","animal","number of offspring","T. castaneum","XY","within ","Y","standard"
1,0,0,"LH","animal","development time with high food/propionic acid","Drosophila rnelanogaster","XY","within","Y","PSU"
0,0,1,"LH","animal","development time with high food/propionic acid","Drosophila rnelanogaster","XY","within","Y","PSU"
0,1,0,"LH","animal","development time with high food/propionic acid","Drosophila rnelanogaster","XY","within","Y","PSU"
0.0954091401367768,0.904590859863223,0,"LH","animal","development time with high food/propionic acid","Drosophila rnelanogaster","XY","within","Y","PSU"
0.0418229729574191,0,0.958177027042581,"LH","animal","development time with high food/propionic acid","Drosophila rnelanogaster","XY","within","Y","PSU"
0,0,1,"LH","animal","development time with high food","Drosophila rnelanogaster","XY","within","Y","PSU"
0,0,1,"LH","animal","development time with high food","Drosophila rnelanogaster","XY","within","Y","PSU"
0,1,0,"LH","animal","development time with high food","Drosophila rnelanogaster","XY","within","Y","PSU"
0,0,1,"LH","animal","development time with high food","Drosophila rnelanogaster","XY","within","Y","PSU"
0,1,0,"LH","animal","development time with high food","Drosophila rnelanogaster","XY","within","Y","PSU"
0,0,1,"LH","animal","development time with low food","Drosophila rnelanogaster","XY","within","Y","PSU"
0,1,0,"LH","animal","development time with low food","Drosophila rnelanogaster","XY","within","Y","PSU"
0,0.720839601492876,0.279160398507124,"LH","animal","development time with low food","Drosophila rnelanogaster","XY","within","Y","PSU"
0.127366806258937,0.375151705943836,0.497481487797227,"LH","animal","development time with low food","Drosophila rnelanogaster","XY","within","Y","PSU"
0,0,1,"LH","plant","difference in days between silking and pollen shedding","Z. mays","NSC","within ","Y","standard"
0.172121014533738,0,0.827878985466262,"LH","animal","sperm length","D. mojavensis","XY","within","Y","cmat"
0.187092034341324,0,0.812907965658676,"LH","animal","sperm receptacle length","D. mojavensis","XY","within","Y","cmat"
0,1,0,"M","plant","dry above ground biomass","Willow","NSC","between","Y","standard"
0,1,0,"M","plant","herbivore density","Willow","NSC","between","Y","standard"
NA,NA,NA,"M","plant","ear diameter (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,0.46199003642978,0.53800996357022,"M","plant","ear diameter (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,1,0,"M","plant","ear diameter (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,0,1,"M","plant","ear diameter (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,1,0,"M","plant","ear diameter (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.200866546472767,0.799133453527233,0,"M","plant","ear diameter (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.0490115565490235,0.577772436957925,0.373216006493051,"M","plant","ear diameter (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.03268833364644,0.597219613000188,0.370092053353372,"M","plant","ear diameter (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,0,1,"M","plant","ear diameter (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.0138981821021338,0.620183835423677,0.365917982474189,"M","plant","ear diameter (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.414141116128995,0,0.585858883871005,"M","plant","ear diameter (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","ear diameter (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","ear diameter (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","ear diameter (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"M","plant","ear diameter (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","ear diameter (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"M","plant","ear diameter (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"M","plant","ear height (cm)","Zea mays","NSC","within","N","PSU"
NA,NA,NA,"M","plant","ear length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","ear length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"M","plant","ear length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"M","plant","ear length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"M","plant","ear length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","ear length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"M","plant","ear length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"M","plant","ear length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,0,1,"M","plant","ear length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,0,1,"M","plant","ear length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.121021679853058,0,0.878978320146942,"M","plant","ear length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"M","plant","ear length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","ear length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,0.61224022106841,0.38775977893159,"M","plant","ear length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"M","plant","ear length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,0,1,"M","plant","ear length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.285272187293769,0,0.714727812706231,"M","plant","ear length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"LH","animal","early fecundity","Drosophila","XY","between","Y","standard"
0.188238698481963,0,0.811761301518037,"LH","plant","number of ears per plant","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.420364498030844,0.579635501969156,0,"LH","plant","number of ears per plant","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"LH","plant","number of ears per plant","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.429957951284141,0.570042048715859,0,"LH","plant","number of ears per plant","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"LH","plant","number of ears per plant","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,0,1,"LH","plant","number of ears per plant","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"LH","plant","number of ears per plant","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"LH","plant","number of ears per plant","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"LH","plant","number of ears per plant","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.389940662171512,0,0.610059337828488,"LH","plant","number of ears per plant","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.105140165515864,0.514286629429587,0.380573205054549,"LH","plant","number of ears per plant","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"LH","plant","number of ears per plant","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"LH","plant","number of ears per plant","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"LH","plant","number of ears per plant","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"LH","plant","number of ears per plant","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"LH","plant","number of ears per plant","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,0.109449689849719,0.890550310150281,"LH","plant","number of ears per plant","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,0,1,"LH","animal","fitness at high density of food","mosquito Wyeomyia smithii","XY","within","Y","PSU"
0,0,1,"LH","animal","fitness at low density of food","mosquito Wyeomyia smithii","XY","within","Y","PSU"
0,0.624987959392685,0.375012040607315,"LH","animal","fitness at high density of food","mosquito Wyeomyia smithii","XY","within","Y","PSU"
1,0,0,"LH","animal","fitness at low density of food","mosquito Wyeomyia smithii","XY","within","Y","PSU"
0.357891048667131,0.136303503487656,0.505805447845213,"LH","animal","number of eggs per unit body weight","rainbow trout","XY","within","Y","PSU"
0.100746188377695,0.478933180940359,0.420320630681946,"LH","animal","number of eggs per unit body weight","rainbow trout","XY","within","Y","PSU"
1,0,0,"LH","animal","egg dispersal","beetle Callosobruchus maculatus","XY","within","Y","cmat"
NA,NA,NA,"LH","animal","egg dispersal","beetle Callosobruchus maculatus","XY","within","Y","cmat"
NA,NA,NA,"LH","animal","egg dispersal","beetle Callosobruchus maculatus","XY","within","Y","cmat"
