"","epi","class","kingdom","divergence","file","combo"
"2",1,"M","plant","within","acetyl.red.csv","Desmodium sandwicense-acetylene reduced (nmoles/h)"
"3",0.634379919226179,"LH","animal","within","ACO.fecund.csv","Drosophila melanogaster-BxACO fecundity"
"4",0,"LH","animal","within","ACO.fem.starv.csv","Drosophila melanogaster-BxACO female starvation resist"
"5",0.101953497518654,"LH","animal","within","ACO.fem.time.csv","Drosophila melanogaster-BxACO fem develop time"
"6",0.652173913043477,"M","animal","within","ACO.femwt.csv","Drosophila melanogaster-BxACO female weight"
"7",0.249999984937591,"LH","animal","within","ACO.male.starv.csv","Drosophila melanogaster-BxACO male starvation resist"
"8",0,"LH","animal","within","ACO.male.time.csv","Drosophila melanogaster-BxACO male develop time"
"9",0.343618459190852,"M","animal","within","ACO.malewt.csv","Drosophila melanogaster-BxACO male weight"
"10",1,"M","plant","within","adven.root.csv","Zea mays-number of adventitious roots"
"13",0,"M","plant","between","aphid.survB.csv","Salix eriocephala, Salix sericea-aphid survival"
"14",0.607237529310072,"LH","animal","within","ban.inf.csv","Tribolium castaneum-number of offspring"
"17",0.221916534058857,"M","plant","within","bean-internode.L-40-1.csv","Phaseolus vulgaris-internode length"
"23",0.144521460182879,"M","plant","within","bean-plant.height40-1.csv","Phaseolus vulgaris-plant height"
"29",0.840555525826346,"LH","animal","within","beetle-dispersal.csv","T. castaneum-dispersal tendency"
"30",0.430633692727782,"LH","animal","within","beetle2-develop.time1.csv","Dendroctonus ponderosae-development time"
"33",0.333333333333333,"M","animal","within","beetle2-pwidth1.csv","Dendroctonus ponderosae-pronotum width"
"36",0.129428953239376,"LH","animal","within","beetle3-disp-cc.csv","Callosobruchus maculatus-egg dispersion"
"40",0.296227907507241,"LH","animal","within","beetle3-eggprop-c.csv","Callosobruchus maculatus-proportion eggs on cowpea"
"42",0.206665026481047,"LH","animal","within","beetle4-lifespan-cowpea-fem.csv","Callosobruchus maculatus-lifespan"
"47",0.666666666666667,"LH","animal","within","beetle4-mort-cowpea-male.csv","Callosobruchus maculatus-mortality rate"
"60",0.195492883542381,"M","animal","within","bodyweight60.fem.csv","mice-60 day bodyweight in females"
"61",0,"M","animal","within","bodyweight60.male.csv","mice-60 day bodyweight in males"
"62",1,"M","animal","within","bodyweight69.csv","rainbow trout-body weight"
"66",1,"M","plant","within","branch.no3.csv","Solanum melongena-number of branches"
"70",1,"LH","animal","within","broad-ejaculation.csv","Cavia porcellus-ejaculation"
"71",0.571428571428571,"LH","animal","within","broad-intromission.csv","Cavia porcellus-intromission"
"72",0,"LH","animal","within","broad-mounting.csv","Cavia porcellus-mounting"
"73",0.526315789473684,"LH","animal","within","broad-nuzzling.csv","Cavia porcellus-nuzzling"
"74",0.488272488692882,"LH","animal","within","broad-rat-activity.csv","Rattus norvegicus-activity level"
"75",0,"LH","animal","within","broad-runningtime1.csv","Mus musculus-running speed"
"77",0,"LH","animal","within","broad-sex.index.csv","Cavia porcellus-sexual activity"
"79",0.675113132206695,"M","plant","within","c.anthesis1.csv","Pennisetum typhoides-plant height"
"90",0,"M","plant","between","calyx.csv","Mimulus cuprilphilus, Mimulus guttatus-calyx length"
"91",0.489544256760645,"LH","plant","within","canola-ff-1.csv","Brassica napus-first flowering"
"95",0.75,"M","plant","within","canola-fsh-1.csv","Brassica napus-first siliqua height"
"99",0.319790099626781,"LH","plant","within","canola-nrpp-1.csv","Brassica napus-number of racemes per plant"
"103",0.784567109730541,"M","plant","within","canola-ph-1.csv","Brassica napus-plant height"
"107",0.179336654523407,"M","plant","within","canola-so-1.csv","Brassica napus-seed oil content"
"111",0.388653255290076,"LH","plant","within","canola-sw-1.csv","Brassica napus-seed weight"
"119",0.347335018300494,"M","plant","between","capsicum-seed.color.csv","Capsicum pubescens, Capsicum eximium-seed color"
"120",0.585858883871005,"LH","plant","between","catkin.gardens.csv","Salix eriocephala, Salix sericea-number of catkins"
"121",0,"LH","plant","between","catkin.num.csv","Salix eriocephala, Salix sericea-filled seeds/catkin"
"122",1,"LH","animal","within","chicken-KLH.csv","chicken-keyhole limpet hemocyanin"
"123",0,"M","plant","within","chilli-canopy-width1.csv","Capsicum annuum-canopy width"
"130",0,"LH","plant","within","chilli-days-to-fruit-maturity4.csv","Capsicum annuum-days to ripe green fruit"
"134",0,"LH","plant","within","chilli-days-to-red-fruit4.csv","Capsicum annuum-days to red fruit"
"137",1,"LH","plant","within","chilli-daystoflower3.csv","Capsicum annuum-days to flower"
"139",0.422246033026177,"LH","plant","within","chilli-fruitlength1.csv","Capsicum annuum-fruit length"
"144",0.857363906353116,"LH","plant","within","chilli-fruitsperplant2.csv","Capsicum annuum-number of fruits per plant"
"147",0.202940325379509,"LH","plant","within","chilli-fruitweight1.csv","Capsicum annuum-fruit weight"
"151",0.333333333333333,"LH","plant","within","chilli-fruitwidth1.csv","Capsicum annuum-fruit width"
"155",0.330210847627679,"LH","plant","within","chilli-plant-height1.csv","Capsicum annuum-plant height"
"161",0,"LH","plant","within","chilli-seedsperfruit3.csv","Capsicum annuum-number of seeds per fruit"
"163",0.816390587689399,"LH","plant","within","chilli-yield-per-plant1.csv","Capsicum annuum-yield per plant"
"167",0,"M","plant","between","chloroLCA.csv","Solanum lycopersicum, Solanum pennellii-chlorophyll content"
"169",0.140106876893982,"M","plant","within","coleolen1.csv","Secale cereale-coleoptile length (mm)"
"175",0.150107548527909,"M","plant","within","corn-ear.height.csv","Zea mays-ear height"
"176",0.270793985544168,"M","plant","within","corn-ear.length.csv","Zea mays-ear length"
"177",0.803804627050128,"LH","plant","within","corn-fusarium-resistance.csv","Zea mays-fusarium rot resistance"
"178",0.333333333333333,"LH","plant","within","corn-grain.yield.csv","Zea mays-grain yield"
"179",0,"LH","plant","within","corn-harvest1.csv","Zea mays-harvesting time"
"181",0.14339727307801,"LH","plant","within","corn-ker.num.csv","Zea mays-number of kernels per row"
"182",0.666445805515398,"LH","plant","within","corn-kernel.depth.csv","Zea mays-kernel depth"
"183",0,"LH","plant","within","corn-kernel.num1.csv","Zea mays-number of kernels"
"185",0.254187054516134,"LH","plant","within","corn-kernelwt.csv","Zea mays-kernel weight"
"186",0,"M","plant","within","corn-leaves.csv","Zea mays-leaves number"
"188",0,"M","plant","within","corn-plant.height.csv","Zea mays-plant height"
"189",0.5,"M","plant","within","corn-plant.height1.csv","Zea mays-final plant height"
"191",0.666666666666667,"LH","plant","within","corn-row.num.csv","Zea mays-number of rows per ear"
"192",0,"LH","plant","within","corn-silking.csv","Zea mays-days to silking"
"193",0,"M","plant","within","corn-up.ear.csv","Zea mays-up ear leaves number"
"194",0,"M","plant","between","corolla.csv","Mimulus cuprilphilus, Mimulus guttatus-corolla length"
"195",0,"M","plant","within","cot.area.csv","Desmodium sandwicense-cotyledon area (mm2)"
"196",0.75,"M","plant","within","cotton-bundle1.csv","cotton-bundle strength (g/tex)"
"202",0.548418083726272,"M","plant","within","cotton-ginning1.csv","cotton-ginning percentage"
"208",0.5,"M","plant","within","cotton-micro1.csv","cotton-micronaire value"
"214",0.310384797505216,"LH","plant","within","cotton-seed-mg1.csv","Gossypium hirsutum-seed weight"
"220",0.240292537569482,"M","plant","within","cotton-seed-oil-mg1.csv","Gossypium hirsutum-seed oil content"
"226",0.49010914116617,"M","plant","within","cotton-seed-oil1.csv","Gossypium hirsutum-seed oil"
"233",0.644566757455552,"M","plant","within","cotton-span.len2.csv","cotton-2.5% span length"
"238",0.4,"M","plant","within","cotton-uniform1.csv","cotton-uniformity ratio"
"244",0.834195006312755,"LH","plant","between","cotton2-bollnumber1.csv","Gossypium babadense, Gossypium hisutum-boll number"
"245",0,"LH","plant","between","cotton2-bollnumber2.csv","Gossypium-boll number"
"246",0.369369105464921,"LH","plant","between","cotton2-bollweight1.csv","Gossypium-boll weight"
"248",0.370493544681572,"LH","plant","between","cotton2-daystoflower1.csv","Gossypium-days to flower"
"250",0,"M","plant","between","cotton2-lintpercent1.csv","Gossypium-lint percent"
"252",0.371976235906428,"M","plant","between","cotton2-lintyieldpp1.csv","Gossypium-lint yield pp"
"254",0.713147523793767,"LH","plant","between","cotton2-seedyieldpp1.csv","Gossypium-seed yield pp"
"256",0.310809083663385,"LH","plant","within","cowpea-seed.weight.csv","Vigna unguiculata-seed size"
"264",0,"M","plant","within","cucumber-acid1.csv","Cucumis sativus-ascorbic acid content"
"267",0.284720531895529,"M","plant","within","cucumber-mineral1.csv","Cucumis sativus-mineral matter"
"270",0.334303532978053,"M","plant","within","cucumber-solids1.csv","Cucumis sativus-total soluble solids"
"273",0,"LH","plant","within","cucumber2-first.harvest1.csv","Cucumis sativus-number of parthenocarpic fruits per plant of first harvest"
"275",0,"LH","plant","within","cucumber2-total.harvest1.csv","Cucumis sativus-number of parthenocarpic fruits per plant of cumulative harvest"
"280",0.644148037918166,"LH","animal","within","develop.acid1.csv","Drosophila melanogaster-development time with high food/propionic acid"
"285",0.370798624054062,"LH","animal","within","develop.high1.csv","Drosophila melanogaster-development time with high food"
"290",0.297286671048379,"LH","animal","within","develop.low1.csv","Drosophila melanogaster-development time with low food"
"294",0,"LH","plant","within","diff.silk.shed.csv","Zea mays-difference in days between silking and pollen shedding"
"295",0.664532874581034,"LH","animal","within","dros.sperm.csv","Drosophila mojavensis-sperm length"
"296",0.820435143501177,"LH","animal","within","dros.sr.csv","Drosophila mojavensis-sperm receptacle length"
"297",0.151297291532482,"M","animal","within","dros2-wing.area.afr.fem.csv","Drosophila melanogaster-wing area"
"303",0.236007655310037,"M","animal","within","dros2-wing.length.afr.fem.csv","Drosophila melanogaster-wing length"
"313",0,"M","animal","between","dros4-develop.birchii.lpk.csv","Drosophila birchii, Drosophila serrata-wing size"
"315",0.0806566175486106,"LH","animal","between","dros4-develop.serrata.erb.fem.csv","Drosophila birchii, Drosophila serrata-development time"
"321",0.666666666666667,"LH","animal","between","dros4-viability.birchii.lpy.csv","Drosophila birchii, Drosophila serrata-viability"
"332",0.0483057515396216,"LH","animal","within","dros5-circadian.fem.csv","Drosophila melanogaster-emergence"
"338",0,"M","animal","within","drosophila-wing.female.csv","Drosophila melanogaster-wing index score"
"340",1,"M","plant","between","dry.biomass.csv","Salix eriocephala, Salix sericea-dry above ground biomass"
"342",0.0307188910667022,"M","plant","between","eardiam.hi25sp.csv","Zea mays, Zea diploperennis Iltis-ear diameter"
"360",0.0412109796849104,"M","plant","between","earlen.hi25sp.csv","Zea mays, Zea diploperennis Iltis-ear length "
"377",0.55664101335225,"LH","animal","between","early.fecund.csv","Drosophila madeirensis, Drosophila subobscura-early fecundity"
"378",0.0340715563306148,"LH","plant","between","ears.hi25sp.csv","Zea mays, Zea diploperennis Iltis-number of ears per plant"
"395",0.5,"LH","animal","within","eFL.ME.high.csv","Wyeomyia smithii-fitness at high density of food"
