add,dom,epi,file,refile,class,kingdom,domestication,trait,species,SCS,divergence,weighted,method
NA,NA,NA,A.tetanothrixa.csv,A.tetanothrixa.csv,M,plant,wild,herbivore density,"Salix eriocephala, Salix sericea",NSC,between,Y,standard
0,0,1,acetyl.red.csv,acetyl.red.csv,M,plant,wild,acetylene reduced (nmoles/h),Desmodium sandwicense,NSC,within,Y,PSU
0.365620081,0,0.634379919,ACO.fecund.csv,ACO.fecund.csv,LH,animal,domestic,fecundity,Drosophila melanogaster,XY,within,Y,standard
1,0,0,ACO.fem.starv.csv,ACO.fem.starv.csv,LH,animal,domestic,female starvation resist,Drosophila melanogaster,XY,within,Y,standard
0.898046502,0,0.101953498,ACO.fem.time.csv,ACO.fem.time.csv,LH,animal,domestic,fem develop time,Drosophila melanogaster,XY,within,Y,standard
0.347826087,0,0.652173913,ACO.femwt.csv,ACO.femwt.csv,M,animal,domestic,female weight,Drosophila melanogaster,XY,within,Y,standard
0.750000015,0,0.249999985,ACO.male.starv.csv,ACO.male.starv.csv,LH,animal,domestic,male starvation resist,Drosophila melanogaster,XY,within,Y,standard
1,0,0,ACO.male.time.csv,ACO.male.time.csv,LH,animal,domestic,male develop time,Drosophila melanogaster,XY,within,Y,standard
0.656381541,0,0.343618459,ACO.malewt.csv,ACO.malewt.csv,M,animal,domestic,male weight,Drosophila melanogaster,XY,within,Y,standard
0,0,1,adven.root.csv,adven.root.csv,M,plant,domestic,number of adventitious roots,Zea mays,NSC,within,N,PSU
NA,NA,NA,aphid.num.csv,aphid.num.csv,M,plant,wild,total number of aphids,"Salix eriocephala, Salix sericea",NSC,between,Y,standard
NA,NA,NA,aphid.survA.csv,aphid.survA.csv,M,plant,wild,aphid survival,"Salix eriocephala, Salix sericea",NSC,between,Y,standard
1,0,0,aphid.survB.csv,aphid.survB.csv,M,plant,wild,aphid survival,"Salix eriocephala, Salix sericea",NSC,between,Y,standard
