"add","dom","epi","file","refile","class","kingdom","domestication","trait","species","SCS","divergence","weighted","method"
1,0,0,"trib29ban.inf.csv","trib29ban.inf.csv","LH","animal","lab","percent of offspring deformed","Tribolium castaneum","XY","within","Y","standard"
1,0,0,"trib29ban.osa.csv","trib29ban.osa.csv","LH","animal","lab","percent of offspring deformed","Tribolium castaneum","XY","within","Y","standard"
NA,NA,NA,"trib29col.ban.csv","trib29col.ban.csv","LH","animal","lab","percent of offspring deformed","Tribolium castaneum","XY","within","Y","standard"
NA,NA,NA,"trib29cro.inf.csv","trib29cro.inf.csv","LH","animal","lab","percent of offspring deformed","Tribolium castaneum","XY","within","Y","standard"
0,0.487565559115797,0.512434440884204,"trib29dar.bho.csv","trib29dar.bho.csv","LH","animal","lab","percent of offspring deformed","Tribolium castaneum","XY","within","Y","standard"
NA,NA,NA,"trib29nig.cro.csv","trib29nig.cro.csv","LH","animal","lab","percent of offspring deformed","Tribolium castaneum","XY","within","Y","standard"
0.263508564211441,0,0.736491435788559,"trib29nig.sin.csv","trib29nig.sin.csv","LH","animal","lab","percent of offspring deformed","Tribolium castaneum","XY","within","Y","standard"
NA,NA,NA,"trib29osa.col.csv","trib29osa.col.csv","LH","animal","lab","percent of offspring deformed","Tribolium castaneum","XY","within","Y","standard"
NA,NA,NA,"trib29par.inf.csv","trib29par.inf.csv","LH","animal","lab","percent of offspring deformed","Tribolium castaneum","XY","within","Y","standard"
NA,NA,NA,"trib29per.san.csv","trib29per.san.csv","LH","animal","lab","percent of offspring deformed","Tribolium castaneum","XY","within","Y","standard"
0.0243200088787291,0,0.975679991121271,"trib29pin.sin.csv","trib29pin.sin.csv","LH","animal","lab","percent of offspring deformed","Tribolium castaneum","XY","within","Y","standard"
NA,NA,NA,"trib29sin.cro.csv","trib29sin.cro.csv","LH","animal","lab","percent of offspring deformed","Tribolium castaneum","XY","within","Y","standard"
NA,NA,NA,"trib35ban.inf.csv","trib35ban.inf.csv","LH","animal","lab","percent of offspring deformed","Tribolium castaneum","XY","within","Y","standard"
1,0,0,"trib35ban.osa.csv","trib35ban.osa.csv","LH","animal","lab","percent of offspring deformed","Tribolium castaneum","XY","within","Y","standard"
0,0.302635452369791,0.697364547630209,"trib35col.ban.csv","trib35col.ban.csv","LH","animal","lab","percent of offspring deformed","Tribolium castaneum","XY","within","Y","standard"
0.468405049910166,0.531594950089834,0,"trib35cro.inf.csv","trib35cro.inf.csv","LH","animal","lab","percent of offspring deformed","Tribolium castaneum","XY","within","Y","standard"
1,0,0,"trib35dar.bho.csv","trib35dar.bho.csv","LH","animal","lab","percent of offspring deformed","Tribolium castaneum","XY","within","Y","standard"
0.2991811399442,0.327583668735354,0.373235191320446,"trib35nig.cro.csv","trib35nig.cro.csv","LH","animal","lab","percent of offspring deformed","Tribolium castaneum","XY","within","Y","standard"
0.481452722843025,0,0.518547277156975,"trib35nig.sin.csv","trib35nig.sin.csv","LH","animal","lab","percent of offspring deformed","Tribolium castaneum","XY","within","Y","standard"
0.5466542881656,0,0.4533457118344,"trib35osa.col.csv","trib35osa.col.csv","LH","animal","lab","percent of offspring deformed","Tribolium castaneum","XY","within","Y","standard"
NA,NA,NA,"trib35par.inf.csv","trib35par.inf.csv","LH","animal","lab","percent of offspring deformed","Tribolium castaneum","XY","within","Y","standard"
NA,NA,NA,"trib35per.san.csv","trib35per.san.csv","LH","animal","lab","percent of offspring deformed","Tribolium castaneum","XY","within","Y","standard"
0,0,1,"trib35pin.sin.csv","trib35pin.sin.csv","LH","animal","lab","percent of offspring deformed","Tribolium castaneum","XY","within","Y","standard"
NA,NA,NA,"trib35sin.cro.csv","trib35sin.cro.csv","LH","animal","lab","percent of offspring deformed","Tribolium castaneum","XY","within","Y","standard"
